episode,score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,2
14,0
15,0
16,0
17,0
18,2
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,0
52,4
53,0
54,0
55,0
56,0
57,1
58,2
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,2
68,2
69,0
70,0
71,1
72,1
73,0
74,0
75,1
76,2
77,0
78,0
79,2
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,2
89,2
90,1
91,0
92,1
93,1
94,1
95,2
96,1
97,4
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,2
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,1
125,1
126,2
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,3
148,0
149,0
150,1
151,1
152,1
153,2
154,1
155,1
156,2
157,1
158,2
159,1
160,0
161,1
162,2
163,1
164,2
165,2
166,0
167,0
168,1
169,2
170,1
171,3
172,2
173,2
174,0
175,0
176,0
177,2
178,1
179,2
180,0
181,2
182,1
183,1
184,1
185,1
186,0
187,2
188,3
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,1
199,2
200,0
201,1
202,2
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,2
216,0
217,1
218,2
219,3
220,1
221,0
222,0
223,1
224,1
225,0
226,2
227,0
228,1
229,2
230,3
231,0
232,2
233,0
234,1
235,1
236,3
237,1
238,1
239,0
240,1
241,2
242,0
243,2
244,2
245,1
246,1
247,1
248,2
249,1
250,2
251,1
252,0
253,2
254,0
255,0
256,1
257,2
258,2
259,2
260,1
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,5
273,1
274,0
275,1
276,1
277,1
278,0
279,2
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,2
295,2
296,1
297,2
298,1
299,1
300,1
301,2
302,1
303,0
304,0
305,2
306,1
307,2
308,0
309,1
310,0
311,0
312,2
313,2
314,1
315,1
316,2
317,1
318,2
319,1
320,2
321,1
322,0
323,0
324,2
325,2
326,0
327,1
328,1
329,2
330,0
331,1
332,1
333,5
334,2
335,1
336,2
337,0
338,0
339,1
340,0
341,1
342,2
343,2
344,3
345,2
346,0
347,1
348,0
349,1
350,0
351,0
352,0
353,4
354,1
355,2
356,0
357,2
358,1
359,2
360,1
361,1
362,2
363,0
364,0
365,0
366,5
367,1
368,1
369,2
370,0
371,0
372,3
373,2
374,0
375,1
376,1
377,2
378,4
379,1
380,0
381,2
382,2
383,2
384,1
385,1
386,0
387,4
388,1
389,1
390,2
391,2
392,2
393,0
394,1
395,2
396,0
397,1
398,1
399,1
400,4
401,1
402,0
403,3
404,1
405,1
406,1
407,3
408,1
409,2
410,4
411,1
412,1
413,0
414,1
415,0
416,2
417,1
418,1
419,2
420,1
421,1
422,3
423,0
424,2
425,1
426,2
427,1
428,2
429,2
430,1
431,0
432,1
433,0
434,2
435,1
436,1
437,2
438,1
439,1
440,1
441,1
442,1
443,1
444,5
445,4
446,2
447,1
448,1
449,2
450,1
451,1
452,1
453,3
454,2
455,3
456,1
457,1
458,1
459,1
460,2
461,2
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,2
472,0
473,2
474,2
475,2
476,1
477,3
478,1
479,3
480,1
481,1
482,0
483,1
484,2
485,5
486,1
487,1
488,1
489,2
490,2
491,1
492,1
493,1
494,1
495,1
496,2
497,4
498,1
499,2
500,1
501,1
502,3
503,1
504,0
505,2
506,4
507,1
508,1
509,1
510,2
511,0
512,1
513,1
514,4
515,3
516,1
517,2
518,4
519,0
520,1
521,4
522,1
523,1
524,2
525,1
526,1
527,2
528,2
529,0
530,2
531,1
532,1
